epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.591,1.45222,1.94583,1.54324,0.62134,0.58142,0.6094,0.41243,1.03427,1.19464,1.19492,0.000236632,0.000236632,0.000236632
2,152.008,1.26996,1.21509,1.37524,0.62521,0.70848,0.68272,0.44051,1.12182,0.98395,1.2769,0.0004715,0.0004715,0.0004715
3,212.431,1.27915,1.14365,1.39603,0.65937,0.69385,0.66085,0.45172,1.05136,0.98849,1.21961,0.000703225,0.000703225,0.000703225
4,272.371,1.25927,1.08471,1.38468,0.79575,0.68177,0.75132,0.51646,1.0585,0.82167,1.218,0.000699863,0.000699863,0.000699863
5,332.69,1.23577,1.00692,1.36766,0.60026,0.65874,0.66586,0.45641,1.06457,1.04111,1.24591,0.00069515,0.00069515,0.00069515
6,392.877,1.20341,0.97838,1.3521,0.83611,0.71933,0.77888,0.5549,1.00618,0.71486,1.17247,0.000690438,0.000690438,0.000690438
7,452.832,1.18778,0.93299,1.34421,0.82562,0.65951,0.73676,0.5173,1.02212,0.78451,1.21166,0.000685726,0.000685726,0.000685726
8,514.542,1.18008,0.93044,1.33803,0.81498,0.67567,0.75795,0.52994,1.0121,0.73481,1.20446,0.000681013,0.000681013,0.000681013
9,575.278,1.16852,0.89548,1.3328,0.75182,0.63341,0.68224,0.48384,1.00184,0.90915,1.18735,0.000676301,0.000676301,0.000676301
10,636.785,1.16058,0.87473,1.32507,0.81686,0.67203,0.75812,0.53041,1.01142,0.78185,1.19101,0.000671588,0.000671588,0.000671588
11,697.725,1.14301,0.85449,1.3088,0.68654,0.9103,0.85395,0.60437,1.00664,0.65609,1.18545,0.000666876,0.000666876,0.000666876
12,758.423,1.12909,0.84261,1.30744,0.84493,0.71633,0.78065,0.55921,1.00154,0.71976,1.17561,0.000662164,0.000662164,0.000662164
13,819.546,1.11173,0.82256,1.29606,0.67111,0.85172,0.78446,0.57103,0.95664,0.72211,1.15089,0.000657451,0.000657451,0.000657451
14,880.112,1.12005,0.81848,1.30245,0.8877,0.75083,0.83888,0.58343,0.9945,0.66151,1.1822,0.000652739,0.000652739,0.000652739
15,941.34,1.09934,0.79635,1.29514,0.76694,0.91796,0.91834,0.6896,0.93592,0.63988,1.15286,0.000648026,0.000648026,0.000648026
16,1001.45,1.09948,0.78505,1.29202,0.85275,0.71264,0.80996,0.57326,1.00905,0.68942,1.19464,0.000643314,0.000643314,0.000643314
17,1061.82,1.09474,0.78253,1.28904,0.74084,0.92276,0.87403,0.6509,0.94933,0.59676,1.15364,0.000638602,0.000638602,0.000638602
18,1121.66,1.08745,0.77935,1.279,0.76275,0.77656,0.8276,0.61475,0.95261,0.61114,1.14781,0.000633889,0.000633889,0.000633889
19,1181.74,1.08332,0.76158,1.28128,0.782,0.77119,0.8331,0.61281,0.93836,0.58736,1.14897,0.000629177,0.000629177,0.000629177
20,1241.56,1.05727,0.74334,1.26021,0.7666,0.79109,0.8286,0.62035,0.94072,0.58414,1.12448,0.000624464,0.000624464,0.000624464
21,1301.39,1.06651,0.74188,1.26474,0.7885,0.7818,0.83062,0.62526,0.93487,0.58141,1.12732,0.000619752,0.000619752,0.000619752
22,1362.36,1.06011,0.72761,1.2626,0.78614,0.78658,0.83055,0.61784,0.93246,0.58522,1.14838,0.00061504,0.00061504,0.00061504
