epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8337,1.46166,1.93285,1.53836,0.53727,0.53255,0.5777,0.37215,1.14939,1.17835,1.25197,0.000254834,0.000254834,0.000254834
2,151.154,1.27097,1.17996,1.37298,0.78297,0.62502,0.696,0.48373,1.0552,1.02182,1.17264,0.000507794,0.000507794,0.000507794
3,211.984,1.29848,1.14397,1.39978,0.74728,0.69916,0.74218,0.50872,1.04488,0.8631,1.19567,0.00075737,0.00075737,0.00075737
4,272.35,1.26624,1.07509,1.38375,0.8139,0.67594,0.78221,0.49579,1.15505,0.8779,1.27553,0.000753774,0.000753774,0.000753774
5,331.75,1.23372,1.01433,1.36487,0.74234,0.63306,0.66419,0.45971,1.05364,1.04253,1.20218,0.000748698,0.000748698,0.000748698
6,391.281,1.21591,0.98586,1.35815,0.85601,0.72521,0.81863,0.58926,0.9994,0.73565,1.16442,0.000743623,0.000743623,0.000743623
7,450.972,1.20272,0.94078,1.34358,0.85368,0.72609,0.80245,0.55486,1.03626,0.75256,1.19477,0.000738548,0.000738548,0.000738548
8,509.789,1.18957,0.93434,1.34998,0.76596,0.67027,0.76393,0.53928,1.01312,0.852,1.13997,0.000733472,0.000733472,0.000733472
9,569.151,1.18677,0.98191,1.3448,0.84386,0.73572,0.78729,0.55755,1.04015,0.70092,1.20666,0.000728397,0.000728397,0.000728397
10,627.873,1.15387,0.88299,1.32328,0.87747,0.73978,0.80103,0.57248,0.98121,0.67508,1.16778,0.000723321,0.000723321,0.000723321
11,687.078,1.14775,0.85678,1.30928,0.62162,0.82397,0.77618,0.52112,1.09544,0.79929,1.20114,0.000718246,0.000718246,0.000718246
12,745.887,1.14357,0.84942,1.31434,0.74176,0.70738,0.78733,0.57113,0.97289,0.72645,1.15343,0.000713171,0.000713171,0.000713171
13,805.054,1.12362,0.8274,1.29865,0.77652,0.66633,0.73639,0.5062,1.04155,0.87924,1.20137,0.000708095,0.000708095,0.000708095
14,865.451,1.11724,0.8178,1.29694,0.76291,0.73907,0.79148,0.58275,0.95615,0.62474,1.1704,0.00070302,0.00070302,0.00070302
15,925.198,1.12323,0.80333,1.30351,0.74133,0.74606,0.79903,0.57072,0.97765,0.6889,1.17197,0.000697944,0.000697944,0.000697944
16,985.313,1.10357,0.79563,1.2841,0.75721,0.78404,0.82254,0.61395,0.94368,0.59785,1.13545,0.000692869,0.000692869,0.000692869
17,1045.78,1.0984,0.78869,1.2872,0.8564,0.78655,0.81127,0.59017,0.97298,0.6256,1.1693,0.000687794,0.000687794,0.000687794
18,1104.75,1.10079,0.76921,1.28722,0.79576,0.89997,0.87041,0.61987,0.99104,0.6067,1.18004,0.000682718,0.000682718,0.000682718
19,1164.13,1.07981,0.76003,1.27494,0.86463,0.73085,0.7986,0.59074,0.94625,0.64321,1.14611,0.000677643,0.000677643,0.000677643
20,1224.32,1.09283,0.82855,1.2849,0.72196,0.94122,0.82954,0.62379,0.93262,0.59466,1.13273,0.000672567,0.000672567,0.000672567
21,1283.48,1.08291,0.75693,1.27778,0.8537,0.89858,0.94138,0.71681,0.90424,0.54248,1.12404,0.000667492,0.000667492,0.000667492
22,1344.5,1.06279,0.74102,1.2633,0.76711,0.9128,0.84026,0.61779,0.93369,0.60758,1.13194,0.000662417,0.000662417,0.000662417
23,1404.34,1.05786,0.72898,1.2564,0.79838,0.7948,0.84149,0.62123,0.94295,0.56354,1.13033,0.000657341,0.000657341,0.000657341
24,1464.17,1.06553,0.72706,1.26494,0.79336,0.76711,0.82065,0.58912,1.00575,0.5964,1.18933,0.000652266,0.000652266,0.000652266
25,1524.95,1.04754,0.71532,1.25227,0.78431,0.79845,0.83062,0.62037,0.92233,0.56837,1.12336,0.00064719,0.00064719,0.00064719
26,1585.73,1.04736,0.7081,1.24981,0.88734,0.80215,0.83664,0.61539,0.97113,0.55649,1.17334,0.000642115,0.000642115,0.000642115
27,1646.01,1.03383,0.68842,1.23975,0.75283,0.95048,0.86021,0.64374,0.933,0.52357,1.14864,0.00063704,0.00063704,0.00063704
28,1706.92,1.03819,0.69408,1.24507,0.82072,0.92207,0.93735,0.69272,0.94069,0.53696,1.1393,0.000631964,0.000631964,0.000631964
29,1767.5,1.02794,0.68655,1.23652,0.80767,0.91415,0.89124,0.66208,0.93427,0.53522,1.11281,0.000626889,0.000626889,0.000626889
30,1827.63,1.03111,0.68373,1.24014,0.90724,0.88987,0.94466,0.71679,0.93092,0.52624,1.12497,0.000621813,0.000621813,0.000621813
31,1888.01,1.02373,0.67178,1.2346,0.79168,0.80467,0.83687,0.6176,0.93098,0.549,1.13883,0.000616738,0.000616738,0.000616738
32,1947.52,1.02049,0.67019,1.24196,0.79795,0.94556,0.94103,0.67239,0.94914,0.5395,1.16604,0.000611663,0.000611663,0.000611663
33,2007.77,1.02204,0.67016,1.23929,0.7792,0.80369,0.84207,0.62272,0.94439,0.53841,1.14661,0.000606587,0.000606587,0.000606587
34,2067.69,1.00679,0.65946,1.22063,0.76281,0.94471,0.86035,0.64825,0.92161,0.5168,1.1222,0.000601512,0.000601512,0.000601512
35,2127.25,1.00324,0.64983,1.21767,0.8973,0.79992,0.83164,0.62963,0.92259,0.52708,1.12199,0.000596436,0.000596436,0.000596436
36,2187.19,1.00167,0.65171,1.21729,0.8999,0.91557,0.94949,0.70426,0.90622,0.49524,1.12519,0.000591361,0.000591361,0.000591361
37,2246.71,1.00305,0.64523,1.22588,0.9031,0.7902,0.83648,0.62211,0.94076,0.54717,1.14478,0.000586286,0.000586286,0.000586286
38,2307.04,0.99288,0.63734,1.2113,0.75405,0.95517,0.85613,0.65074,0.92578,0.50789,1.11089,0.00058121,0.00058121,0.00058121
39,2366.95,0.99425,0.63852,1.21851,0.84053,0.90271,0.88874,0.68785,0.91431,0.52695,1.10787,0.000576135,0.000576135,0.000576135
40,2426.63,0.97945,0.63152,1.20501,0.80745,0.93437,0.89341,0.67821,0.91898,0.49997,1.12468,0.000571059,0.000571059,0.000571059
41,2487.43,0.97716,0.62911,1.20398,0.88344,0.8392,0.94905,0.7193,0.92658,0.50556,1.12335,0.000565984,0.000565984,0.000565984
