epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3682,1.47214,1.92902,1.55363,0.68206,0.55904,0.59564,0.40876,1.0645,1.08665,1.16333,0.000254798,0.000254798,0.000254798
2,143.797,1.27876,1.17191,1.37474,0.71694,0.66648,0.67874,0.46692,1.04908,0.99587,1.1898,0.000507758,0.000507758,0.000507758
3,200.538,1.27891,1.10265,1.38805,0.73589,0.6712,0.7132,0.47177,1.17009,0.93046,1.24629,0.000757335,0.000757335,0.000757335
4,256.961,1.24156,1.05038,1.36602,0.7381,0.64605,0.69543,0.47329,1.07976,0.95764,1.19504,0.000753774,0.000753774,0.000753774
5,312.592,1.228,0.9973,1.35504,0.77209,0.71518,0.78953,0.53808,1.07514,0.83961,1.1966,0.000748698,0.000748698,0.000748698
6,368.41,1.20668,0.95366,1.34207,0.85558,0.7276,0.78191,0.56636,0.99214,0.71595,1.16044,0.000743623,0.000743623,0.000743623
7,424.482,1.19966,0.93273,1.3415,0.81239,0.73368,0.7874,0.5575,1.01414,0.76466,1.17987,0.000738548,0.000738548,0.000738548
8,480.343,1.1834,0.91064,1.33616,0.8,0.64782,0.74962,0.5105,1.05831,0.81902,1.22848,0.000733472,0.000733472,0.000733472
9,536.079,1.17229,0.88831,1.32466,0.70778,0.88323,0.88337,0.56543,1.00591,0.70531,1.19363,0.000728397,0.000728397,0.000728397
10,592.685,1.15872,0.86669,1.3218,0.78173,0.69039,0.82375,0.55059,1.04139,0.85681,1.19315,0.000723321,0.000723321,0.000723321
11,648.536,1.14742,0.84284,1.30294,0.77141,0.68229,0.75603,0.53281,1.01037,0.82543,1.1851,0.000718246,0.000718246,0.000718246
12,705.048,1.12088,0.83176,1.29456,0.84869,0.78553,0.83666,0.60915,0.97121,0.63259,1.13792,0.000713171,0.000713171,0.000713171
13,761.118,1.12685,0.8273,1.30385,0.87204,0.76062,0.80971,0.56612,1.01813,0.63581,1.19243,0.000708095,0.000708095,0.000708095
14,816.566,1.11824,0.80425,1.29083,0.85713,0.75723,0.81718,0.58371,0.95407,0.65923,1.15507,0.00070302,0.00070302,0.00070302
15,872.476,1.10856,0.80396,1.28909,0.89324,0.76573,0.93063,0.66935,0.93497,0.60329,1.12276,0.000697944,0.000697944,0.000697944
16,928.355,1.10316,0.78948,1.28877,0.89894,0.77945,0.85542,0.62804,0.95251,0.58517,1.13746,0.000692869,0.000692869,0.000692869
17,983.954,1.09274,0.7668,1.27472,0.86231,0.72545,0.79417,0.57424,0.9745,0.65372,1.16911,0.000687794,0.000687794,0.000687794
18,1040.23,1.08708,0.76796,1.27646,0.8624,0.71945,0.8046,0.58395,0.96429,0.66852,1.12769,0.000682718,0.000682718,0.000682718
19,1096.17,1.07997,0.75669,1.26648,0.77277,0.89162,0.86315,0.6364,0.92724,0.58189,1.12196,0.000677643,0.000677643,0.000677643
20,1151.72,1.07897,0.74842,1.26997,0.8655,0.74244,0.91401,0.64026,0.97485,0.65047,1.15772,0.000672567,0.000672567,0.000672567
21,1207.59,1.07288,0.74342,1.26663,0.86964,0.87142,0.92638,0.67465,0.96813,0.60235,1.14994,0.000667492,0.000667492,0.000667492
22,1263.58,1.06289,0.73561,1.26059,0.7125,0.93491,0.93189,0.62894,1.04687,0.60998,1.19852,0.000662417,0.000662417,0.000662417
23,1319.13,1.0533,0.71712,1.25078,0.73937,0.94456,0.88299,0.66843,0.91687,0.57254,1.10563,0.000657341,0.000657341,0.000657341
24,1374.36,1.04688,0.71041,1.24477,0.88735,0.80262,0.82702,0.60051,0.97206,0.565,1.1689,0.000652266,0.000652266,0.000652266
25,1430.72,1.04148,0.71039,1.24789,0.83828,0.88719,0.91492,0.62776,1.03512,0.6264,1.22264,0.00064719,0.00064719,0.00064719
26,1486.37,1.04741,0.7015,1.24401,0.86463,0.83218,0.9273,0.65349,0.963,0.59501,1.15487,0.000642115,0.000642115,0.000642115
27,1542.52,1.02623,0.69221,1.2327,0.75307,0.76852,0.82639,0.62441,0.92461,0.56746,1.11121,0.00063704,0.00063704,0.00063704
28,1599.5,1.03342,0.68212,1.23254,0.8435,0.90057,0.88099,0.64317,0.92862,0.5476,1.13608,0.000631964,0.000631964,0.000631964
29,1655.98,1.02458,0.68096,1.23491,0.89641,0.80297,0.85038,0.63688,0.91814,0.53833,1.12755,0.000626889,0.000626889,0.000626889
30,1712.73,1.01945,0.67213,1.22706,0.76602,0.93328,0.89608,0.66264,0.91309,0.51976,1.12556,0.000621813,0.000621813,0.000621813
31,1769.09,1.01989,0.67076,1.22757,0.84943,0.88089,0.88259,0.66258,0.9122,0.54834,1.10131,0.000616738,0.000616738,0.000616738
32,1824.9,1.01587,0.6586,1.22871,0.91463,0.88536,0.94964,0.73295,0.90545,0.51016,1.0947,0.000611663,0.000611663,0.000611663
33,1881.82,1.0057,0.65256,1.21327,0.90349,0.8053,0.86303,0.64992,0.9062,0.513,1.10419,0.000606587,0.000606587,0.000606587
34,1938.7,0.99736,0.65397,1.21772,0.9269,0.88465,0.9491,0.68351,0.89683,0.50222,1.09244,0.000601512,0.000601512,0.000601512
35,1994.93,1,0.64628,1.21316,0.92781,0.89242,0.95141,0.71932,0.9048,0.50265,1.12637,0.000596436,0.000596436,0.000596436
36,2052.05,0.99454,0.64568,1.21214,0.79099,0.93694,0.87067,0.63595,0.9143,0.51947,1.10662,0.000591361,0.000591361,0.000591361
37,2108.36,0.98982,0.63783,1.20672,0.88893,0.80128,0.85745,0.6438,0.9159,0.53526,1.12527,0.000586286,0.000586286,0.000586286
38,2163.78,0.99067,0.63505,1.21137,0.79927,0.93828,0.88944,0.67481,0.90514,0.52305,1.11525,0.00058121,0.00058121,0.00058121
39,2219.99,0.97291,0.62623,1.1963,0.91399,0.78024,0.8412,0.63981,0.91352,0.53657,1.11883,0.000576135,0.000576135,0.000576135
40,2276.36,0.97737,0.62966,1.20105,0.90145,0.88551,0.94777,0.68417,0.90325,0.50678,1.09923,0.000571059,0.000571059,0.000571059
41,2331.92,0.98223,0.62724,1.21095,0.73888,0.95656,0.87107,0.65442,0.91878,0.51844,1.12729,0.000565984,0.000565984,0.000565984
42,2387.55,0.96543,0.62265,1.19836,0.90839,0.8042,0.83776,0.63434,0.91281,0.51643,1.10861,0.000560909,0.000560909,0.000560909
43,2443.87,0.96474,0.62233,1.19378,0.85642,0.94534,0.94937,0.68297,0.90608,0.50131,1.09007,0.000555833,0.000555833,0.000555833
44,2499.99,0.95548,0.60797,1.18901,0.75938,0.95909,0.88861,0.66446,0.91562,0.5035,1.12077,0.000550758,0.000550758,0.000550758
45,2555.54,0.94879,0.60412,1.18277,0.92774,0.89325,0.95215,0.69979,0.91435,0.48522,1.0916,0.000545682,0.000545682,0.000545682
46,2611.88,0.96798,0.61275,1.19608,0.90163,0.91638,0.94731,0.71197,0.92911,0.5165,1.11331,0.000540607,0.000540607,0.000540607
47,2667.35,0.95532,0.59575,1.18621,0.92071,0.87553,0.93953,0.66653,0.91016,0.51459,1.10901,0.000535532,0.000535532,0.000535532
48,2722.4,0.95579,0.60107,1.1852,0.80236,0.92155,0.86636,0.66497,0.90602,0.50968,1.09982,0.000530456,0.000530456,0.000530456
49,2777.51,0.94796,0.59681,1.18634,0.85155,0.92725,0.89305,0.67499,0.90382,0.4923,1.10366,0.000525381,0.000525381,0.000525381
50,2834.1,0.94816,0.59325,1.18201,0.8833,0.89826,0.89535,0.68406,0.91476,0.48385,1.12218,0.000520305,0.000520305,0.000520305
51,2889.49,0.93218,0.58461,1.17149,0.79385,0.93666,0.86956,0.64336,0.92638,0.50828,1.12895,0.00051523,0.00051523,0.00051523
52,2945.05,0.93382,0.57954,1.16792,0.82818,0.91083,0.94171,0.71438,0.90126,0.50491,1.09046,0.000510155,0.000510155,0.000510155
53,3001,0.93918,0.58207,1.17536,0.86179,0.90581,0.94304,0.70251,0.90819,0.49923,1.09941,0.000505079,0.000505079,0.000505079
54,3057.01,0.92352,0.57752,1.17,0.88012,0.92541,0.94604,0.70541,0.9484,0.49782,1.15295,0.000500004,0.000500004,0.000500004
55,3112.45,0.9298,0.57438,1.17349,0.77764,0.92935,0.87447,0.66762,0.89644,0.48299,1.1092,0.000494928,0.000494928,0.000494928
56,3168.14,0.92741,0.57349,1.16759,0.76337,0.94471,0.87431,0.65257,0.90253,0.482,1.10076,0.000489853,0.000489853,0.000489853
57,3224.15,0.92086,0.56786,1.16462,0.76474,0.9465,0.87318,0.65697,0.91321,0.49014,1.11437,0.000484778,0.000484778,0.000484778
58,3279.78,0.92011,0.56485,1.16567,0.82481,0.93147,0.86637,0.65674,0.91265,0.49134,1.11805,0.000479702,0.000479702,0.000479702
59,3334.86,0.90747,0.56036,1.16345,0.79717,0.80669,0.85247,0.64117,0.90574,0.50494,1.11864,0.000474627,0.000474627,0.000474627
60,3390.77,0.90725,0.56688,1.16016,0.84032,0.93214,0.89286,0.6874,0.90362,0.49197,1.12028,0.000469551,0.000469551,0.000469551
61,3446.05,0.90447,0.56325,1.15973,0.80983,0.79352,0.84659,0.6476,0.90984,0.49392,1.12011,0.000464476,0.000464476,0.000464476
62,3501.31,0.9088,0.5617,1.15518,0.90483,0.81207,0.84418,0.64752,0.91111,0.48876,1.11214,0.000459401,0.000459401,0.000459401
63,3556.47,0.90148,0.55436,1.14998,0.91851,0.79752,0.86275,0.65992,0.92271,0.48669,1.12204,0.000454325,0.000454325,0.000454325
64,3612.75,0.89882,0.55306,1.15514,0.81654,0.93679,0.87319,0.66858,0.90382,0.48098,1.09972,0.00044925,0.00044925,0.00044925
65,3668.38,0.89344,0.54494,1.14745,0.90985,0.83283,0.85157,0.65832,0.90398,0.47518,1.11229,0.000444174,0.000444174,0.000444174
66,3723.68,0.89651,0.54493,1.14888,0.74411,0.96436,0.89003,0.6742,0.91098,0.48446,1.12089,0.000439099,0.000439099,0.000439099
67,3779.21,0.88844,0.54254,1.14063,0.76851,0.95646,0.84774,0.64002,0.92941,0.48891,1.12603,0.000434024,0.000434024,0.000434024
68,3834.83,0.88998,0.54036,1.13976,0.86755,0.95103,0.94975,0.72783,0.89312,0.46754,1.0935,0.000428948,0.000428948,0.000428948
69,3890.06,0.88289,0.53775,1.14148,0.79779,0.94428,0.87611,0.67563,0.90813,0.47353,1.11789,0.000423873,0.000423873,0.000423873
70,3946.22,0.87779,0.53564,1.1332,0.9019,0.92848,0.95142,0.73968,0.89473,0.46871,1.09565,0.000418797,0.000418797,0.000418797
71,4002.09,0.87648,0.53609,1.13825,0.80364,0.81246,0.86392,0.66154,0.91052,0.48094,1.12227,0.000413722,0.000413722,0.000413722
72,4057.8,0.87247,0.5325,1.13392,0.79278,0.92298,0.87126,0.66472,0.91661,0.48492,1.10574,0.000408647,0.000408647,0.000408647
73,4113.91,0.87243,0.52727,1.14001,0.86143,0.92517,0.89151,0.68137,0.91016,0.48062,1.12416,0.000403571,0.000403571,0.000403571
74,4170.04,0.87302,0.5277,1.13523,0.84466,0.94697,0.94536,0.73464,0.89761,0.47185,1.11235,0.000398496,0.000398496,0.000398496
75,4226.06,0.86211,0.52329,1.13221,0.81578,0.936,0.86863,0.67024,0.90856,0.48503,1.12253,0.00039342,0.00039342,0.00039342
76,4281.7,0.86874,0.52456,1.13732,0.93176,0.87529,0.94589,0.73271,0.90043,0.47618,1.0971,0.000388345,0.000388345,0.000388345
77,4339.04,0.85848,0.51587,1.12825,0.83769,0.93302,0.86508,0.65815,0.9106,0.47592,1.1096,0.00038327,0.00038327,0.00038327
78,4395.44,0.85416,0.5152,1.12725,0.83597,0.92223,0.86273,0.65757,0.92225,0.48776,1.12906,0.000378194,0.000378194,0.000378194
79,4451.41,0.85381,0.51304,1.12618,0.78348,0.95328,0.89098,0.68297,0.90833,0.48041,1.11726,0.000373119,0.000373119,0.000373119
80,4508.25,0.85354,0.51374,1.12223,0.84653,0.91076,0.87624,0.66332,0.90547,0.47203,1.11426,0.000368043,0.000368043,0.000368043
81,4565.03,0.84362,0.50506,1.11376,0.86217,0.90072,0.8951,0.68588,0.90102,0.47481,1.08035,0.000362968,0.000362968,0.000362968
82,4620.91,0.83791,0.49684,1.10733,0.84845,0.92498,0.89232,0.66238,0.92719,0.48394,1.10996,0.000357893,0.000357893,0.000357893
83,4677.18,0.84402,0.50438,1.11603,0.92059,0.88296,0.94706,0.71165,0.91544,0.48146,1.11164,0.000352817,0.000352817,0.000352817
84,4733.84,0.8389,0.50455,1.11481,0.84736,0.90642,0.87039,0.66443,0.92781,0.49127,1.12856,0.000347742,0.000347742,0.000347742
